Time,Conductivity (mS),Temperature (C)
16:51:46,0.916,21.9
0,0,0
0,0,0
16:51:48,0.916,21.9
0,0,0
0,0,0
16:51:50,0.916,21.9
0,0,0
0,0,0
16:51:52,0.916,21.9
0,0,0
0,0,0
16:51:54,0.916,21.9
0,0,0
0,0,0
16:51:56,0.916,21.9
0,0,0
0,0,0
16:51:58,0.916,21.9
0,0,0
0,0,0
16:52:00,0.915,21.9
0,0,0
0,0,0
16:52:02,0.915,21.9
0,0,0
0,0,0
16:52:04,0.915,21.9
0,0,0
0,0,0
16:52:06,0.915,21.9
0,0,0
0,0,0
16:52:08,0.915,21.9
0,0,0
0,0,0
16:52:10,0.915,21.9
0,0,0
0,0,0
16:52:12,0.915,21.9
0,0,0
0,0,0
16:52:14,0.379,21.9
0,0,0
0,0,0
16:52:16,0.461,21.8
0,0,0
0,0,0
16:52:18,0.461,21.7
0,0,0
0,0,0
16:52:20,0.461,21.7
0,0,0
0,0,0
16:52:22,0.461,21.7
0,0,0
0,0,0
16:52:24,0.461,21.6
0,0,0
0,0,0
16:52:26,0.461,21.5
0,0,0
0,0,0
16:52:28,0.462,21.5
0,0,0
0,0,0
16:52:30,0.462,21.4
0,0,0
0,0,0
16:52:32,0.463,21.4
0,0,0
0,0,0
16:52:34,0.463,21.4
0,0,0
0,0,0
16:52:36,0.463,21.4
0,0,0
0,0,0
16:52:38,0.464,21.3
0,0,0
0,0,0
16:52:40,0.464,21.3
0,0,0
0,0,0
16:52:42,0.464,21.3
0,0,0
0,0,0
16:52:44,0.464,21.3
0,0,0
0,0,0
16:52:46,0.465,21.3
0,0,0
0,0,0
16:52:48,0.465,21.3
0,0,0
0,0,0
16:52:50,0.465,21.3
0,0,0
0,0,0
16:52:52,0.465,21.3
0,0,0
0,0,0
16:52:54,0.465,21.3
0,0,0
0,0,0
16:52:56,0.465,21.3
0,0,0
0,0,0
16:52:58,0.465,21.3
0,0,0
0,0,0
16:53:00,0.465,21.3
0,0,0
0,0,0
16:53:02,0.465,21.3
0,0,0
0,0,0
16:53:04,0.465,21.3
0,0,0
0,0,0
16:53:06,0.465,21.3
0,0,0
0,0,0
16:53:08,0.465,21.3
0,0,0
0,0,0
16:53:10,0.465,21.2
0,0,0
0,0,0
16:53:12,0.465,21.3
0,0,0
0,0,0
16:53:14,0.465,21.2
0,0,0
0,0,0
16:53:16,0.465,21.2
0,0,0
0,0,0
16:53:18,0.465,21.2
0,0,0
0,0,0
16:53:20,0.466,21.2
0,0,0
0,0,0
16:53:22,0.466,21.2
0,0,0
0,0,0
16:53:24,0.466,21.2
0,0,0
0,0,0
16:53:26,0.466,21.2
0,0,0
0,0,0
16:53:28,0.466,21.2
0,0,0
0,0,0
16:53:30,0.466,21.2
0,0,0
0,0,0
16:53:32,0.466,21.2
0,0,0
0,0,0
16:53:34,0.466,21.2
0,0,0
0,0,0
16:53:36,0.466,21.2
0,0,0
0,0,0
16:53:38,0.466,21.2
0,0,0
0,0,0
16:53:40,0.466,21.2
0,0,0
0,0,0
16:53:42,0.466,21.2
0,0,0
0,0,0
16:53:44,0.466,21.2
0,0,0
0,0,0
16:53:46,0.466,21.2
0,0,0
0,0,0
16:53:48,0.466,21.2
0,0,0
0,0,0
16:53:50,0.466,21.2
0,0,0
0,0,0
16:53:52,0.466,21.2
0,0,0
0,0,0
16:53:54,0.466,21.2
0,0,0
0,0,0
16:53:56,0.466,21.2
0,0,0
0,0,0
