Time,Conductivity (mS),Conductivity @25*C (mS),Temperature_1,Temperature_2
13:58:26,849.20,938.34,20.00,24.25
13:58:27,850.60,930.13,20.50,24.00
13:58:28,851.50,940.88,20.00,23.50
13:58:29,854.00,953.66,19.50,24.25
13:58:30,855.50,940.37,20.25,24.25
13:58:31,856.80,936.91,20.50,24.25
13:58:33,856.60,956.56,19.50,24.50
13:58:33,858.70,948.84,20.00,24.00
13:58:34,860.70,941.17,20.50,24.25
13:58:35,862.40,957.96,19.75,24.25
13:58:36,863.70,959.40,19.75,23.75
13:58:37,865.00,950.81,20.25,24.00
13:58:38,866.40,952.35,20.25,24.25
13:58:39,867.00,973.34,19.25,24.00
13:58:40,869.90,971.41,19.50,23.50
13:58:41,870.00,951.34,20.50,24.00
13:58:42,872.00,968.62,19.75,24.50
13:58:43,873.20,969.95,19.75,24.25
13:58:44,875.20,967.07,20.00,23.75
13:58:45,875.90,962.79,20.25,24.00
13:58:46,878.00,975.28,19.75,24.00
13:58:47,879.40,971.71,20.00,23.75
13:58:48,879.90,967.19,20.25,24.00
13:58:49,881.40,963.81,20.50,23.75
13:58:50,883.60,981.51,19.75,24.00
13:58:51,885.00,983.06,19.75,23.75
13:58:52,886.20,969.05,20.50,24.00
13:58:53,888.00,986.39,19.75,24.25
13:58:54,888.40,986.84,19.75,24.25
13:58:55,890.50,973.76,20.50,23.75
13:58:56,891.40,979.83,20.25,24.00
13:58:57,892.40,996.54,19.50,24.00
13:58:58,894.00,993.06,19.75,24.25
13:58:59,895.30,989.28,20.00,23.50
13:59:00,897.30,991.49,20.00,24.25
13:59:01,898.20,1003.02,19.50,24.25
13:59:01,898.90,982.94,20.50,23.75
13:59:02,900.30,994.81,20.00,24.25
13:59:03,901.80,1007.04,19.50,24.25
13:59:04,902.50,992.03,20.25,24.25
13:59:05,904.30,988.85,20.50,24.00
13:59:06,905.90,1006.28,19.75,23.75
13:59:07,907.30,1002.54,20.00,24.00
13:59:08,908.30,993.22,20.50,24.00
13:59:09,908.80,1004.20,20.00,24.00
13:59:10,910.80,1011.72,19.75,24.00
13:59:11,912.20,997.48,20.50,24.25
13:59:12,913.70,999.13,20.50,24.00
13:59:13,914.40,1026.55,19.25,24.25
13:59:14,916.40,1007.31,20.25,24.00
13:59:15,917.10,997.66,20.75,24.00
13:59:16,905.20,1005.50,19.75,24.00
13:59:17,919.80,1016.35,20.00,23.50
13:59:18,921.10,1007.22,20.50,24.00
13:59:19,922.70,1024.94,19.75,24.00
13:59:20,923.50,1025.83,19.75,24.25
13:59:21,924.00,1010.39,20.50,24.00
13:59:22,925.40,1022.54,20.00,24.00
13:59:23,927.00,1024.31,20.00,24.00
13:59:24,928.20,1009.74,20.75,24.00
13:59:25,928.90,1021.05,20.25,24.25
13:59:26,931.20,1028.95,20.00,23.75
13:59:27,931.90,1019.03,20.50,24.00
13:59:28,933.20,1015.18,20.75,24.00
13:59:29,934.00,1048.55,19.25,24.00
13:59:30,935.30,1028.08,20.25,24.00
13:59:31,937.30,1024.93,20.50,23.75
13:59:32,938.20,1042.15,19.75,24.00
13:59:33,939.30,1037.90,20.00,23.50
13:59:34,940.90,1018.29,21.00,23.75
13:59:35,941.90,1040.77,20.00,24.00
13:59:36,943.90,1054.05,19.50,24.00
13:59:37,944.40,1022.08,21.00,24.25
13:59:38,945.30,1028.34,20.75,24.00
13:59:39,946.60,1051.49,19.75,24.00
13:59:40,946.70,1029.86,20.75,23.75
13:59:41,948.10,1042.15,20.25,23.75
13:59:42,949.30,1054.48,19.75,24.25
13:59:43,951.50,1040.46,20.50,24.00
13:59:44,952.10,1041.12,20.50,24.00
13:59:44,954.10,1065.44,19.50,24.25
13:59:45,954.60,1049.30,20.25,24.25
13:59:46,955.50,1044.83,20.50,24.00
13:59:47,956.10,1056.46,20.00,24.00
13:59:48,957.80,1058.34,20.00,24.25
13:59:49,959.10,1059.78,20.00,24.00
