Time,"Conductivity, mS","Temperature, C"
0,0,0
16:46:53,0.382,23.8
0,0,0
0,0,0
16:46:55,0.382,23.8
0,0,0
0,0,0
16:46:57,0.382,23.8
0,0,0
0,0,0
16:46:59,0.382,23.8
0,0,0
0,0,0
16:47:01,0.382,23.8
0,0,0
0,0,0
16:47:03,0.382,23.8
0,0,0
0,0,0
16:47:05,0.382,23.8
0,0,0
0,0,0
16:47:07,0.382,23.8
0,0,0
0,0,0
16:47:09,0.382,23.8
0,0,0
0,0,0
16:47:11,0.382,23.8
0,0,0
0,0,0
16:47:13,0.382,23.8
0,0,0
0,0,0
16:47:15,0.382,23.8
0,0,0
0,0,0
16:47:17,0.382,23.8
0,0,0
0,0,0
16:47:19,0.382,23.8
0,0,0
0,0,0
16:47:21,0.382,23.8
0,0,0
0,0,0
16:47:23,0.382,23.8
0,0,0
0,0,0
16:47:25,0.382,23.8
0,0,0
0,0,0
16:47:27,0.382,23.8
0,0,0
0,0,0
16:47:29,0.382,23.8
0,0,0
0,0,0
16:47:31,0.382,23.8
0,0,0
0,0,0
16:47:33,0.382,23.8
0,0,0
0,0,0
16:47:35,0.382,23.8
0,0,0
0,0,0
16:47:37,0.382,23.8
0,0,0
0,0,0
16:47:39,0.382,23.8
0,0,0
0,0,0
16:47:41,0.382,23.8
0,0,0
0,0,0
16:47:43,0.382,23.8
0,0,0
0,0,0
16:47:45,0.382,23.8
0,0,0
0,0,0
16:47:47,0.382,23.8
0,0,0
0,0,0
16:47:49,0.382,23.8
0,0,0
0,0,0
16:47:51,0.382,23.8
0,0,0
0,0,0
16:47:53,0.382,23.8
0,0,0
0,0,0
16:47:55,0.382,23.8
0,0,0
0,0,0
16:47:57,0.382,23.8
0,0,0
0,0,0
16:47:59,0.382,23.8
0,0,0
0,0,0
16:48:01,0.382,23.8
0,0,0
0,0,0
16:48:03,0.382,23.8
0,0,0
0,0,0
16:48:05,0.382,23.8
0,0,0
0,0,0
16:48:07,0.382,23.8
0,0,0
0,0,0
16:48:09,0.382,23.8
0,0,0
0,0,0
16:48:11,0.382,23.8
0,0,0
0,0,0
16:48:13,0.382,23.8
0,0,0
0,0,0
16:48:15,0.382,23.8
0,0,0
0,0,0
16:48:17,0.382,23.8
0,0,0
0,0,0
16:48:19,0.382,23.8
0,0,0
0,0,0
16:48:21,0.382,23.8
0,0,0
0,0,0
16:48:23,0.382,23.8
0,0,0
0,0,0
16:48:25,0.382,23.8
0,0,0
0,0,0
16:48:27,0.382,23.8
0,0,0
0,0,0
16:48:29,0.382,23.8
0,0,0
0,0,0
16:48:31,0.382,23.8
0,0,0
0,0,0
16:48:33,0.382,23.8
0,0,0
0,0,0
16:48:35,0.382,23.8
0,0,0
0,0,0
16:48:37,0.382,23.8
0,0,0
0,0,0
16:48:39,0.382,23.8
0,0,0
0,0,0
16:48:41,0.382,23.8
0,0,0
0,0,0
16:48:43,0.382,23.8
0,0,0
0,0,0
16:48:45,0.382,23.8
0,0,0
0,0,0
16:48:47,0.382,23.8
0,0,0
0,0,0
16:48:49,0.382,23.8
0,0,0
0,0,0
16:48:51,0.382,23.8
0,0,0
0,0,0
16:48:53,0.382,23.8
0,0,0
0,0,0
16:48:55,0.382,23.8
0,0,0
0,0,0
16:48:57,0.382,23.8
0,0,0
0,0,0
16:48:59,0.382,23.8
0,0,0
0,0,0
16:49:01,0.382,23.8
0,0,0
0,0,0
16:49:03,0.382,23.8
0,0,0
0,0,0
16:49:05,0.382,23.8
0,0,0
0,0,0
16:49:07,0.382,23.8
0,0,0
0,0,0
16:49:09,0.382,23.8
0,0,0
0,0,0
16:49:11,0.382,23.8
0,0,0
0,0,0
16:49:13,0.382,23.8
0,0,0
0,0,0
16:49:15,0.382,23.8
0,0,0
0,0,0
16:49:17,0.382,23.8
0,0,0
0,0,0
16:49:19,0.382,23.8
0,0,0
0,0,0
16:49:21,0.382,23.8
0,0,0
0,0,0
16:49:23,0.382,23.8
0,0,0
0,0,0
16:49:25,0.382,23.8
0,0,0
0,0,0
16:49:27,0.382,23.8
0,0,0
0,0,0
16:49:29,0.382,23.8
0,0,0
0,0,0
16:49:31,0.382,23.8
0,0,0
0,0,0
16:49:33,0.382,23.8
0,0,0
0,0,0
16:49:35,0.382,23.8
0,0,0
0,0,0
16:49:37,0.382,23.8
0,0,0
0,0,0
16:49:39,0.382,23.8
0,0,0
0,0,0
16:49:41,0.382,23.8
0,0,0
0,0,0
16:49:43,0.382,23.8
0,0,0
0,0,0
16:49:45,0.382,23.8
0,0,0
0,0,0
16:49:47,0.382,23.8
0,0,0
0,0,0
16:49:49,0.382,23.8
0,0,0
0,0,0
16:49:51,0.382,23.8
0,0,0
0,0,0
16:49:53,0.382,23.8
0,0,0
0,0,0
16:49:55,0.382,23.8
0,0,0
0,0,0
16:49:57,0.382,23.8
0,0,0
0,0,0
16:49:59,0.382,23.8
0,0,0
0,0,0
16:50:01,0.382,23.8
0,0,0
0,0,0
16:50:03,0.382,23.8
0,0,0
0,0,0
16:50:05,0.382,23.8
0,0,0
0,0,0
16:50:07,0.382,23.8
0,0,0
0,0,0
16:50:09,0.382,23.8
0,0,0
0,0,0
16:50:11,0.382,23.8
0,0,0
0,0,0
16:50:13,0.382,23.8
0,0,0
0,0,0
16:50:15,0.382,23.8
0,0,0
0,0,0
16:50:17,0.382,23.8
0,0,0
0,0,0
16:50:19,0.382,23.8
0,0,0
0,0,0
16:50:21,0.382,23.8
0,0,0
0,0,0
16:50:23,0.382,23.8
0,0,0
0,0,0
16:50:25,0.382,23.8
0,0,0
0,0,0
16:50:27,0.382,23.8
0,0,0
0,0,0
16:50:29,0.382,23.8
0,0,0
0,0,0
16:50:31,0.382,23.8
0,0,0
0,0,0
16:50:33,0.382,23.8
0,0,0
0,0,0
16:50:35,0.382,23.8
0,0,0
0,0,0
16:50:37,0.382,23.8
0,0,0
0,0,0
16:50:39,0.382,23.8
0,0,0
0,0,0
16:50:41,0.382,23.8
0,0,0
0,0,0
16:50:43,0.382,23.8
0,0,0
0,0,0
16:50:45,0.382,23.8
0,0,0
0,0,0
16:50:47,0.382,23.8
0,0,0
0,0,0
16:50:49,0.383,23.8
0,0,0
0,0,0
16:50:51,0.382,23.8
0,0,0
0,0,0
16:50:53,0.382,23.8
0,0,0
0,0,0
16:50:55,0.382,23.8
0,0,0
0,0,0
16:50:57,0.382,23.8
0,0,0
0,0,0
16:50:59,0.382,23.8
0,0,0
0,0,0
16:51:01,0.383,23.8
0,0,0
0,0,0
16:51:03,0.383,23.8
0,0,0
0,0,0
16:51:05,0.383,23.8
0,0,0
0,0,0
16:51:07,0.383,23.8
0,0,0
0,0,0
16:51:09,0.383,23.8
0,0,0
0,0,0
16:51:11,0.383,23.8
0,0,0
0,0,0
16:51:13,0.382,23.8
0,0,0
0,0,0
16:51:15,0.382,23.8
0,0,0
0,0,0
16:51:17,0.382,23.8
0,0,0
0,0,0
16:51:19,0.382,23.8
0,0,0
0,0,0
16:51:21,0.383,23.8
0,0,0
0,0,0
16:51:23,0.383,23.8
0,0,0
0,0,0
16:51:25,0.383,23.8
0,0,0
0,0,0
16:51:27,0.383,23.8
0,0,0
0,0,0
16:51:29,0.383,23.8
0,0,0
0,0,0
16:51:31,0.383,23.8
0,0,0
0,0,0
16:51:33,0.383,23.8
0,0,0
0,0,0
16:51:35,0.383,23.8
0,0,0
0,0,0
16:51:37,0.383,23.8
0,0,0
0,0,0
16:51:39,0.382,23.8
0,0,0
0,0,0
16:51:41,0.382,23.8
0,0,0
0,0,0
16:51:43,0.382,23.8
0,0,0
0,0,0
16:51:45,0.382,23.8
0,0,0
0,0,0
16:51:47,0.383,23.8
0,0,0
0,0,0
16:51:49,0.383,23.8
0,0,0
0,0,0
16:51:51,0.383,23.8
0,0,0
0,0,0
16:51:53,0.383,23.8
0,0,0
0,0,0
16:51:55,0.383,23.8
0,0,0
0,0,0
16:51:57,0.383,23.8
0,0,0
0,0,0
16:51:59,0.383,23.8
0,0,0
0,0,0
16:52:01,0.383,23.8
0,0,0
0,0,0
16:52:03,0.383,23.8
0,0,0
0,0,0
16:52:05,0.383,23.8
0,0,0
0,0,0
16:52:07,0.383,23.8
0,0,0
0,0,0
16:52:09,0.383,23.8
0,0,0
0,0,0
16:52:11,0.383,23.8
0,0,0
0,0,0
16:52:13,0.383,23.8
0,0,0
0,0,0
16:52:15,0.383,23.8
0,0,0
0,0,0
16:52:17,0.383,23.8
0,0,0
0,0,0
16:52:19,0.383,23.8
0,0,0
0,0,0
16:52:21,0.383,23.8
0,0,0
0,0,0
16:52:23,0.383,23.8
0,0,0
0,0,0
16:52:25,0.383,23.8
0,0,0
0,0,0
16:52:27,0.383,23.8
0,0,0
0,0,0
16:52:29,0.383,23.8
0,0,0
0,0,0
16:52:31,0.383,23.8
0,0,0
0,0,0
16:52:33,0.383,23.8
0,0,0
0,0,0
16:52:35,0.382,23.8
0,0,0
0,0,0
16:52:37,0.382,23.8
0,0,0
0,0,0
16:52:39,0.382,23.8
0,0,0
0,0,0
16:52:41,0.382,23.8
0,0,0
0,0,0
16:52:43,0.383,23.8
0,0,0
0,0,0
16:52:45,0.383,23.8
0,0,0
0,0,0
16:52:47,0.383,23.8
0,0,0
0,0,0
16:52:49,0.383,23.8
0,0,0
0,0,0
16:52:51,0.383,23.8
0,0,0
0,0,0
16:52:53,0.383,23.8
0,0,0
0,0,0
16:52:55,0.383,23.8
0,0,0
0,0,0
16:52:57,0.383,23.8
0,0,0
0,0,0
16:52:59,0.383,23.8
0,0,0
0,0,0
16:53:01,0.383,23.8
0,0,0
0,0,0
16:53:03,0.383,23.8
0,0,0
0,0,0
16:53:05,0.383,23.8
0,0,0
0,0,0
16:53:07,0.383,23.8
0,0,0
0,0,0
16:53:09,0.383,23.8
0,0,0
0,0,0
16:53:11,0.383,23.8
0,0,0
0,0,0
16:53:13,0.383,23.8
0,0,0
0,0,0
16:53:15,0.383,23.8
0,0,0
0,0,0
16:53:17,0.383,23.9
0,0,0
0,0,0
16:53:19,0.382,23.8
0,0,0
0,0,0
16:53:21,0.382,23.8
0,0,0
0,0,0
16:53:23,0.382,23.8
0,0,0
0,0,0
